candidate_id,display_name,candidate_class,human_recurrence_status,human_recurrence_detail,function_or_clade_link_status,parent_species_independence_status,parent_species_independence_detail,taxonomic_source_status,taxonomic_source_detail,conservation_status,specificity_status,editability_status,external_gene_confirmation_status,atlas_status,claim_boundary
colibactin,Colibactin genotoxicity,effector_benchmark,not_passed,9/10 evaluable cohorts CRC-enriched; median AUC 0.541,pending_structured_review,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,not_yet_assessed,pending_structured_review,not_yet_assessed,benchmark_incomplete,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
fragilysin,B. fragilis toxin,effector_benchmark,not_passed,6/8 evaluable cohorts CRC-enriched; median AUC 0.508,pending_structured_review,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,not_yet_assessed,pending_structured_review,not_yet_assessed,benchmark_incomplete,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
fusobacterial_adhesion,Fusobacterial adhesion,effector_benchmark,not_passed,not evaluable in the current gene-family assay,pending_structured_review,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,not_yet_assessed,pending_structured_review,not_yet_assessed,benchmark_incomplete,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
secondary_bile_acids,Secondary bile-acid conversion,effector_benchmark,not_passed,7/10 evaluable cohorts CRC-enriched; median AUC 0.537,pending_structured_review,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,not_yet_assessed,pending_structured_review,not_yet_assessed,benchmark_incomplete,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
UniRef90_A0A069DBF6,Protein FixA,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.567,not_yet_established,not_evaluable,not evaluable because no exact parent-species match was frozen,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,unresolved_no_exact_parent_mapping,A recurring gene-family association and possible genomic address; not a causal gene or guide sequence.
UniRef90_A0A081TLD1,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.595,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.000; positive in 50% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A0E2AL27,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.635,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.013; positive in 70% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A192CAU6,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.608,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.002; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A1E3U585,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 86% held-out direction consistency; median held-out AUC 0.551,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.009; positive in 70% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A1E3UBQ7,DNA-binding protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 100% held-out direction consistency; median held-out AUC 0.558,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.005; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A329TH64,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.611,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.015; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_D6E491,"Site-specific recombinases, DNA invertase Pin homologs",precision_address_candidate,internal_cross_fitted_pass,selected in 8 outer folds; 88% held-out direction consistency; median held-out AUC 0.567,not_yet_established,not_evaluable,not evaluable because no exact parent-species match was frozen,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,unresolved_no_exact_parent_mapping,A recurring gene-family association and possible genomic address; not a causal gene or guide sequence.
UniRef90_F7YJA4,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 8 outer folds; 75% held-out direction consistency; median held-out AUC 0.558,not_yet_established,not_evaluable,not evaluable because no exact parent-species match was frozen,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,unresolved_no_exact_parent_mapping,A recurring gene-family association and possible genomic address; not a causal gene or guide sequence.
UniRef90_H1B745,DUF4259 domain-containing protein,precision_address_candidate,internal_cross_fitted_pass,selected in 9 outer folds; 89% held-out direction consistency; median held-out AUC 0.550,failed_taxonomic_address_gate,pass,median held-out AUC gain 0.039; positive in 80% of evaluable folds,mixed_taxonomic_sources,dominant carrier g__Faecalibacterium.s__Faecalibacterium_prausnitzii accounted for 42.5% across 7 detected taxa,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_mixed_taxonomic_sources,"The family carries parent-independent CRC signal, but its abundance is distributed across multiple taxa; it is not a direct editing address."
UniRef90_Q8A4A2,DNA-directed RNA polymerase subunit alpha,precision_address_candidate,internal_cross_fitted_pass,selected in 8 outer folds; 88% held-out direction consistency; median held-out AUC 0.580,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.002; positive in 50% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_R5RC53,Helix-turn-helix domain protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.591,failed_taxonomic_address_gate,pass,median held-out AUC gain 0.038; positive in 70% of evaluable folds,mixed_taxonomic_sources,dominant carrier g__Bacteroides.s__Bacteroides_uniformis accounted for 13.5% across 23 detected taxa,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_mixed_taxonomic_sources,"The family carries parent-independent CRC signal, but its abundance is distributed across multiple taxa; it is not a direct editing address."
UniRef90_R5REJ2,Prephenate dehydratase,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.588,failed_taxonomic_address_gate,pass,median held-out AUC gain 0.021; positive in 70% of evaluable folds,mixed_taxonomic_sources,dominant carrier g__Bacteroides.s__Bacteroides_ovatus accounted for 24.3% across 15 detected taxa,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_mixed_taxonomic_sources,"The family carries parent-independent CRC signal, but its abundance is distributed across multiple taxa; it is not a direct editing address."
UniRef90_R5U7X9,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 100% held-out direction consistency; median held-out AUC 0.575,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.004; positive in 50% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_UPI000A0106DD,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 86% held-out direction consistency; median held-out AUC 0.555,not_assessed_parent_gate_failed,not_passed,did not pass: median held-out AUC gain 0.014; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_W6P8M8,L-aspartate oxidase,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.594,failed_taxonomic_address_gate,pass,median held-out AUC gain 0.043; positive in 70% of evaluable folds,mixed_taxonomic_sources,dominant carrier g__Bacteroides.s__Bacteroides_ovatus accounted for 20.8% across 12 detected taxa,not_yet_assessed,not_yet_assessed,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_mixed_taxonomic_sources,"The family carries parent-independent CRC signal, but its abundance is distributed across multiple taxa; it is not a direct editing address."
